datetime,oscillating fan
2014-07-30 16:20:00,2786311844
2014-07-30 16:19:00,0
2014-07-30 16:18:00,1
2014-07-30 16:17:00,0
2014-07-30 16:16:00,0
2014-07-30 16:15:00,1
2014-07-30 16:14:00,0
2014-07-30 16:13:00,0
