2014-06-02 04:31:00,10454540-x,72.723
2014-06-02 04:32:00,10454540-1,83.422
2014-06-02 04:32:00,10454540-2,69.559
2014-06-02 04:32:00,10498980-1,82
2014-06-02 04:32:00,10454540-x,72.467
2014-06-02 04:33:00,10454540-1,82.308
2014-06-02 04:33:00,10454540-2,70.561
2014-06-02 04:33:00,10498980-1,82
2014-06-02 04:33:00,10454540-x,71.825
2014-06-02 04:34:00,10454540-1,81.466
2014-06-02 04:34:00,10454540-2,71.940
2014-06-02 04:34:00,10498980-1,82
2014-06-02 04:34:00,10454540-x,71.590
2014-06-02 04:35:00,10454540-1,80.890
2014-06-02 04:35:00,10454540-2,73.010
2014-06-02 04:35:00,10498980-1,82
2014-06-02 04:35:00,10454540-x,71.473
2014-06-02 04:36:00,10454540-1,80.492
2014-06-02 04:36:00,10454540-2,73.708
2014-06-02 04:36:00,10498980-1,82
2014-06-02 04:36:00,10454540-x,71.371
2014-06-02 04:37:00,10454540-1,80.184
2014-06-02 04:37:00,10454540-2,74.325
2014-06-02 04:37:00,10498980-1,82
2014-06-02 04:37:00,10454540-x,71.320
2014-06-02 04:38:00,10454540-1,79.963
2014-06-02 04:38:00,10454540-2,74.832
2014-06-02 04:38:00,10498980-1,82
2014-06-02 04:38:00,10454540-x,71.308
2014-06-02 04:39:00,10454540-1,79.788
2014-06-02 04:39:00,10454540-2,75.018
2014-06-02 04:39:00,10498980-1,82
2014-06-02 04:39:00,10454540-x,71.212
2014-06-02 04:40:00,10454540-1,79.655
2014-06-02 04:40:00,10454540-2,75.298
2014-06-02 04:40:00,10498980-1,82
2014-06-02 04:40:00,10454540-x,71.193
2014-06-02 04:41:00,10454540-1,79.524
2014-06-02 04:41:00,10454540-2,75.459
2014-06-02 04:41:00,10498980-1,82
2014-06-02 04:41:00,10454540-x,71.130
2014-06-02 04:42:00,10454540-1,79.435
2014-06-02 04:42:00,10454540-2,75.596
2014-06-02 04:42:00,10498980-1,82
2014-06-02 04:42:00,10454540-x,71.097
2014-06-02 04:43:00,10454540-1,79.392
2014-06-02 04:43:00,10454540-2,75.885
2014-06-02 04:43:00,10498980-1,82
2014-06-02 04:43:00,10454540-x,71.169
2014-06-02 04:44:00,10454540-1,79.304
2014-06-02 04:44:00,10454540-2,75.846
2014-06-02 04:44:00,10498980-1,82
2014-06-02 04:44:00,10454540-x,71.068
2014-06-02 04:45:00,10454540-1,79.261
2014-06-02 04:45:00,10454540-2,75.958
2014-06-02 04:45:00,10498980-1,82
2014-06-02 04:45:00,10454540-x,71.070
2014-06-02 04:46:00,10454540-1,79.216
2014-06-02 04:46:00,10454540-2,76.011
2014-06-02 04:46:00,10498980-1,82
2014-06-02 04:46:00,10454540-x,71.047
2014-06-02 04:47:00,10454540-1,79.173
2014-06-02 04:47:00,10454540-2,75.890
2014-06-02 04:47:00,10498980-1,82
2014-06-02 04:47:00,10454540-x,70.959
2014-06-02 04:48:00,10454540-1,79.173
2014-06-02 04:48:00,10454540-2,76.094
2014-06-02 04:48:00,10498980-1,82
2014-06-02 04:48:00,10454540-x,71.038
2014-06-02 04:49:00,10454540-1,79.173
2014-06-02 04:49:00,10454540-2,76.065
2014-06-02 04:49:00,10498980-1,82
2014-06-02 04:49:00,10454540-x,71.027
2014-06-09 09:01:00,10454538-1,70.243
2014-06-09 09:01:00,10454538-2,58.603
2014-06-09 09:01:00,10454538-x,55.093
2014-06-09 09:02:00,10454538-1,69.985
2014-06-09 09:02:00,10454538-2,58.550
2014-06-09 09:02:00,10454545-1,72.997
2014-06-09 09:02:00,10454545-2,55.532
2014-06-09 09:02:00,10454538-x,54.826
2014-06-09 09:02:00,10454545-x,56.180
2014-06-09 09:03:00,10454538-1,69.728
2014-06-09 09:03:00,10454538-2,58.864
2014-06-09 09:03:00,10454545-1,72.567
2014-06-09 09:03:00,10454545-2,55.994
2014-06-09 09:03:00,10454538-x,54.732
2014-06-09 09:03:00,10454545-x,56.009
2014-06-09 09:04:00,10454538-1,69.471
2014-06-09 09:04:00,10454538-2,59.086
2014-06-09 09:04:00,10454545-1,72.178
2014-06-09 09:04:00,10454545-2,56.148
2014-06-09 09:04:00,10454538-x,54.594
2014-06-09 09:04:00,10454545-x,55.722
2014-06-09 09:05:00,10454538-1,69.300
2014-06-09 09:05:00,10454538-2,59.071
2014-06-09 09:05:00,10454545-1,71.791
2014-06-09 09:05:00,10454545-2,56.425
2014-06-09 09:05:00,10454538-x,54.427
2014-06-09 09:05:00,10454545-x,55.497
2014-06-09 09:06:00,10454538-1,69.129
2014-06-09 09:06:00,10454538-2,59.148
2014-06-09 09:06:00,10454545-1,71.490
2014-06-09 09:06:00,10454545-2,56.802
2014-06-09 09:06:00,10454538-x,54.302
2014-06-09 09:06:00,10454545-x,55.399
2014-06-09 09:07:00,10454538-1,68.871
2014-06-09 09:07:00,10454538-2,59.674
2014-06-09 09:07:00,10454545-1,71.190
2014-06-09 09:07:00,10454545-2,56.993
2014-06-09 09:07:00,10454538-x,54.303
2014-06-09 09:07:00,10454545-x,55.212
2014-06-09 09:08:00,10454538-1,68.698
2014-06-09 09:08:00,10454538-2,59.963
2014-06-09 09:08:00,10454545-1,70.974
2014-06-09 09:08:00,10454545-2,57.191
2014-06-09 09:08:00,10454538-x,54.272
2014-06-09 09:08:00,10454545-x,55.105
2014-06-09 09:09:00,10454538-1,68.571
2014-06-09 09:09:00,10454538-2,60.225
2014-06-09 09:09:00,10454545-1,70.759
2014-06-09 09:09:00,10454545-2,57.326
2014-06-09 09:09:00,10454538-x,54.273
2014-06-09 09:09:00,10454545-x,54.969
2014-06-09 09:10:00,10454538-1,68.484
2014-06-09 09:10:00,10454538-2,60.278
2014-06-09 09:10:00,10454545-1,70.587
2014-06-09 09:10:00,10454545-2,57.466
2014-06-09 09:10:00,10454538-x,54.215
2014-06-09 09:10:00,10454545-x,54.876
2014-06-09 09:11:00,10454538-1,68.443
2014-06-09 09:11:00,10454538-2,60.426
2014-06-09 09:11:00,10454545-1,70.416
2014-06-09 09:11:00,10454545-2,57.636
2014-06-09 09:11:00,10454538-x,54.243
2014-06-09 09:11:00,10454545-x,54.797
2014-06-09 09:12:00,10454538-1,68.400
2014-06-09 09:12:00,10454538-2,60.453
2014-06-09 09:12:00,10454545-1,70.243
2014-06-09 09:12:00,10454545-2,57.836
2014-06-09 09:12:00,10454538-x,54.215
2014-06-09 09:12:00,10454545-x,54.730
2014-06-09 09:13:00,10454538-1,68.400
2014-06-09 09:13:00,10454538-2,60.453
2014-06-09 09:13:00,10454545-1,70.158
2014-06-09 09:13:00,10454545-2,57.952
2014-06-09 09:13:00,10454538-x,54.215
2014-06-09 09:13:00,10454545-x,54.706
2014-06-09 09:14:00,10454538-1,68.356
2014-06-09 09:14:00,10454538-2,60.419
2014-06-09 09:14:00,10454545-1,70.029
2014-06-09 09:14:00,10454545-2,58.063
2014-06-09 09:14:00,10454538-x,54.158
2014-06-09 09:14:00,10454545-x,54.638
2014-06-09 09:15:00,10454538-1,68.356
2014-06-09 09:15:00,10454538-2,60.297
2014-06-09 09:15:00,10454545-1,69.942
2014-06-09 09:15:00,10454545-2,58.209
2014-06-09 09:15:00,10454538-x,54.103
2014-06-09 09:15:00,10454545-x,54.625
2014-06-09 09:16:00,10454538-1,68.270
2014-06-09 09:16:00,10454538-2,60.472
2014-06-09 09:16:00,10454545-1,69.858
2014-06-09 09:16:00,10454545-2,58.355
2014-06-09 09:16:00,10454538-x,54.101
2014-06-09 09:16:00,10454545-x,54.615
2014-06-09 09:17:00,10454538-1,68.185
2014-06-09 09:17:00,10454538-2,60.615
2014-06-09 09:17:00,10454545-1,69.814
2014-06-09 09:17:00,10454545-2,58.168
2014-06-09 09:17:00,10454538-x,54.086
2014-06-09 09:17:00,10454545-x,54.486
2014-06-09 09:18:00,10454538-1,68.099
2014-06-09 09:18:00,10454538-2,60.759
2014-06-09 09:18:00,10454545-1,69.728
2014-06-09 09:18:00,10454545-2,58.283
2014-06-09 09:18:00,10454538-x,54.070
2014-06-09 09:18:00,10454545-x,54.459
2014-06-09 09:19:00,10454538-1,68.013
2014-06-09 09:19:00,10454538-2,61.024
2014-06-09 09:19:00,10454545-1,69.685
2014-06-09 09:19:00,10454545-2,58.279
2014-06-09 09:19:00,10454538-x,54.108
2014-06-09 09:19:00,10454545-x,54.417
2014-06-09 09:20:00,10454538-1,68.013
2014-06-09 09:20:00,10454538-2,61.084
2014-06-09 09:20:00,10454545-1,69.600
2014-06-09 09:20:00,10454545-2,58.394
2014-06-09 09:20:00,10454538-x,54.135
2014-06-09 09:20:00,10454545-x,54.392
2014-06-09 09:21:00,10454538-1,68.013
2014-06-09 09:21:00,10454538-2,61.054
2014-06-09 09:21:00,10454545-1,69.557
2014-06-09 09:21:00,10454545-2,58.421
2014-06-09 09:21:00,10454538-x,54.122
2014-06-09 09:21:00,10454545-x,54.364
2014-06-09 09:22:00,10454538-1,67.971
2014-06-09 09:22:00,10454538-2,60.990
2014-06-09 09:22:00,10454545-1,69.471
2014-06-09 09:22:00,10454545-2,58.475
2014-06-09 09:22:00,10454538-x,54.054
2014-06-09 09:22:00,10454545-x,54.309
2014-06-09 09:23:00,10454538-1,67.928
2014-06-09 09:23:00,10454538-2,61.107
2014-06-09 09:23:00,10454545-1,69.427
2014-06-09 09:23:00,10454545-2,58.594
2014-06-09 09:23:00,10454538-x,54.066
2014-06-09 09:23:00,10454545-x,54.323
2014-06-09 09:24:00,10454538-1,67.928
2014-06-09 09:24:00,10454538-2,61.107
2014-06-09 09:24:00,10454545-1,69.386
2014-06-09 09:24:00,10454545-2,58.590
2014-06-09 09:24:00,10454538-x,54.066
2014-06-09 09:24:00,10454545-x,54.283
2014-06-09 09:25:00,10454538-1,67.928
2014-06-09 09:25:00,10454538-2,61.016
2014-06-09 09:25:00,10454545-1,69.343
2014-06-09 09:25:00,10454545-2,58.648
2014-06-09 09:25:00,10454538-x,54.025
2014-06-09 09:25:00,10454545-x,54.270
2014-06-09 09:26:00,10454538-1,67.885
2014-06-09 09:26:00,10454538-2,61.073
2014-06-09 09:26:00,10454545-1,69.300
2014-06-09 09:26:00,10454545-2,58.705
2014-06-09 09:26:00,10454538-x,54.010
2014-06-09 09:26:00,10454545-x,54.256
2014-06-09 09:27:00,10454538-1,67.842
2014-06-09 09:27:00,10454538-2,61.220
2014-06-09 09:27:00,10454545-1,69.256
2014-06-09 09:27:00,10454545-2,58.701
2014-06-09 09:27:00,10454538-x,54.035
2014-06-09 09:27:00,10454545-x,54.213
2014-06-09 09:28:00,10454538-1,67.798
2014-06-09 09:28:00,10454538-2,61.126
2014-06-09 09:28:00,10454545-1,69.256
2014-06-09 09:28:00,10454545-2,58.762
2014-06-09 09:28:00,10454538-x,53.952
2014-06-09 09:28:00,10454545-x,54.242
2014-06-09 09:29:00,10454538-1,67.757
2014-06-09 09:29:00,10454538-2,61.182
2014-06-09 09:29:00,10454545-1,69.256
2014-06-09 09:29:00,10454545-2,58.701
2014-06-09 09:29:00,10454538-x,53.938
2014-06-09 09:29:00,10454545-x,54.213
2014-06-09 09:30:00,10454538-1,67.757
2014-06-09 09:30:00,10454538-2,61.122
2014-06-09 09:30:00,10454545-1,69.213
2014-06-09 09:30:00,10454545-2,58.636
2014-06-09 09:30:00,10454538-x,53.911
2014-06-09 09:30:00,10454545-x,54.142
2014-06-09 09:31:00,10454538-1,67.714
2014-06-09 09:31:00,10454538-2,61.269
2014-06-09 09:31:00,10454545-1,69.170
2014-06-09 09:31:00,10454545-2,58.663
2014-06-09 09:31:00,10454538-x,53.936
2014-06-09 09:31:00,10454545-x,54.115
2014-06-09 09:32:00,10454538-1,67.671
2014-06-09 09:32:00,10454538-2,61.325
2014-06-09 09:32:00,10454545-1,69.170
2014-06-09 09:32:00,10454545-2,58.694
2014-06-09 09:32:00,10454538-x,53.921
2014-06-09 09:32:00,10454545-x,54.129
2014-06-09 09:33:00,10454538-1,67.714
2014-06-09 09:33:00,10454538-2,61.329
2014-06-09 09:33:00,10454545-1,69.129
2014-06-09 09:33:00,10454545-2,58.721
2014-06-09 09:33:00,10454538-x,53.963
2014-06-09 09:33:00,10454545-x,54.103
2014-06-09 09:34:00,10454538-1,67.757
2014-06-09 09:34:00,10454538-2,61.273
2014-06-09 09:34:00,10454545-1,69.129
2014-06-09 09:34:00,10454545-2,58.721
2014-06-09 09:34:00,10454538-x,53.979
2014-06-09 09:34:00,10454545-x,54.103
2014-06-09 09:35:00,10454538-1,67.714
2014-06-09 09:35:00,10454538-2,61.329
2014-06-09 09:35:00,10454545-1,69.085
2014-06-09 09:35:00,10454545-2,58.778
2014-06-09 09:35:00,10454538-x,53.963
2014-06-09 09:35:00,10454545-x,54.089
2014-06-09 09:36:00,10454538-1,67.757
2014-06-09 09:36:00,10454538-2,61.333
2014-06-09 09:36:00,10454545-1,69.085
2014-06-09 09:36:00,10454545-2,58.900
2014-06-09 09:36:00,10454538-x,54.006
2014-06-09 09:36:00,10454545-x,54.146
2014-06-09 09:37:00,10454538-1,67.757
2014-06-09 09:37:00,10454538-2,61.424
2014-06-09 09:37:00,10454545-1,69.085
2014-06-09 09:37:00,10454545-2,58.900
2014-06-09 09:37:00,10454538-x,54.046
2014-06-09 09:37:00,10454545-x,54.146
2014-06-09 09:38:00,10454538-1,67.757
2014-06-09 09:38:00,10454538-2,61.394
2014-06-09 09:38:00,10454545-1,69.085
2014-06-09 09:38:00,10454545-2,58.870
2014-06-09 09:38:00,10454538-x,54.033
2014-06-09 09:38:00,10454545-x,54.132
2014-06-09 09:39:00,10454538-1,67.757
2014-06-09 09:39:00,10454538-2,61.333
2014-06-09 09:39:00,10454545-1,69.042
2014-06-09 09:39:00,10454545-2,59.019
2014-06-09 09:39:00,10454538-x,54.006
2014-06-09 09:39:00,10454545-x,54.160
2014-06-09 09:40:00,10454538-1,67.757
2014-06-09 09:40:00,10454538-2,61.424
2014-06-09 09:40:00,10454545-1,69.042
2014-06-09 09:40:00,10454545-2,59.049
2014-06-09 09:40:00,10454536-1,70.115
2014-06-09 09:40:00,10454536-2,58.316
2014-06-09 09:40:00,10454538-x,54.046
2014-06-09 09:40:00,10454545-x,54.174
2014-06-09 09:40:00,10454536-x,54.838
2014-06-09 09:41:00,10454538-1,67.757
2014-06-09 09:41:00,10454538-2,61.424
2014-06-09 09:41:00,10454545-1,68.999
2014-06-09 09:41:00,10454545-2,59.045
2014-06-09 09:41:00,10454536-1,72.178
2014-06-09 09:41:00,10454536-2,61.946
2014-06-09 09:41:00,10454538-x,54.046
2014-06-09 09:41:00,10454545-x,54.132
2014-06-09 09:41:00,10454536-x,58.450
2014-06-09 09:42:00,10454538-1,67.714
2014-06-09 09:42:00,10454538-2,61.480
2014-06-09 09:42:00,10454545-1,68.999
2014-06-09 09:42:00,10454545-2,59.076
2014-06-09 09:42:00,10454536-1,71.661
2014-06-09 09:42:00,10454536-2,58.110
2014-06-09 09:42:00,10454538-x,54.031
2014-06-09 09:42:00,10454545-x,54.147
2014-06-09 09:42:00,10454536-x,56.188
2014-06-09 09:43:00,10454538-1,67.714
2014-06-09 09:43:00,10454538-2,61.510
2014-06-09 09:43:00,10454545-1,68.999
2014-06-09 09:43:00,10454545-2,59.076
2014-06-09 09:43:00,10454536-1,69.471
2014-06-09 09:43:00,10454536-2,59.818
2014-06-09 09:43:00,10454538-x,54.044
2014-06-09 09:43:00,10454545-x,54.147
2014-06-09 09:43:00,10454536-x,54.933
2014-06-09 09:44:00,10454538-1,67.671
2014-06-09 09:44:00,10454538-2,61.567
2014-06-09 09:44:00,10454545-1,68.999
2014-06-09 09:44:00,10454545-2,59.137
2014-06-09 09:44:00,10454536-1,69.471
2014-06-09 09:44:00,10454536-2,60.335
2014-06-09 09:44:00,10454538-x,54.029
2014-06-09 09:44:00,10454545-x,54.175
2014-06-09 09:44:00,10454536-x,55.169
2014-06-09 09:45:00,10454538-1,67.671
2014-06-09 09:45:00,10454538-2,61.537
2014-06-09 09:45:00,10454545-1,68.999
2014-06-09 09:45:00,10454545-2,59.198
2014-06-09 09:45:00,10454536-1,68.400
2014-06-09 09:45:00,10454536-2,60.088
2014-06-09 09:45:00,10454538-x,54.015
2014-06-09 09:45:00,10454545-x,54.203
2014-06-09 09:45:00,10454536-x,54.049
2014-06-09 09:46:00,10454538-1,67.671
2014-06-09 09:46:00,10454538-2,61.537
2014-06-09 09:46:00,10454545-1,68.956
2014-06-09 09:46:00,10454545-2,59.194
2014-06-09 09:46:00,10454536-1,67.757
2014-06-09 09:46:00,10454536-2,60.668
2014-06-09 09:46:00,10454538-x,54.015
2014-06-09 09:46:00,10454545-x,54.161
2014-06-09 09:46:00,10454536-x,53.707
2014-06-09 09:47:00,10454538-1,67.627
2014-06-09 09:47:00,10454538-2,61.563
2014-06-09 09:47:00,10454545-1,68.956
2014-06-09 09:47:00,10454545-2,59.103
2014-06-09 09:47:00,10454536-1,67.372
2014-06-09 09:47:00,10454536-2,61.298
2014-06-09 09:47:00,10454538-x,53.985
2014-06-09 09:47:00,10454545-x,54.119
2014-06-09 09:47:00,10454536-x,53.627
2014-06-09 09:48:00,10454538-1,67.627
2014-06-09 09:48:00,10454538-2,61.714
2014-06-09 09:48:00,10454545-1,68.956
2014-06-09 09:48:00,10454545-2,59.133
2014-06-09 09:48:00,10454536-1,67.158
2014-06-09 09:48:00,10454536-2,61.701
2014-06-09 09:48:00,10454538-x,54.053
2014-06-09 09:48:00,10454545-x,54.133
2014-06-09 09:48:00,10454536-x,53.604
2014-06-09 09:49:00,10454538-1,67.627
2014-06-09 09:49:00,10454538-2,61.804
2014-06-09 09:49:00,10454545-1,68.956
2014-06-09 09:49:00,10454545-2,59.225
2014-06-09 09:49:00,10454536-1,67.028
2014-06-09 09:49:00,10454536-2,62.051
2014-06-09 09:49:00,10454538-x,54.092
2014-06-09 09:49:00,10454545-x,54.175
2014-06-09 09:49:00,10454536-x,53.636
2014-06-09 09:50:00,10454538-1,67.671
2014-06-09 09:50:00,10454538-2,61.718
2014-06-09 09:50:00,10454545-1,68.956
2014-06-09 09:50:00,10454545-2,59.225
2014-06-09 09:50:00,10454536-1,66.900
2014-06-09 09:50:00,10454536-2,62.249
2014-06-09 09:50:00,10454538-x,54.096
2014-06-09 09:50:00,10454545-x,54.175
2014-06-09 09:50:00,10454536-x,53.602
2014-06-09 09:51:00,10454538-1,67.714
2014-06-09 09:51:00,10454538-2,61.541
2014-06-09 09:51:00,10454545-1,68.956
2014-06-09 09:51:00,10454545-2,59.225
2014-06-09 09:51:00,10454536-1,66.857
2014-06-09 09:51:00,10454536-2,62.336
2014-06-09 09:51:00,10454538-x,54.058
2014-06-09 09:51:00,10454545-x,54.175
2014-06-09 09:51:00,10454536-x,53.600
2014-06-09 09:52:00,10454545-1,68.956
2014-06-09 09:52:00,10454545-2,59.255
2014-06-09 09:52:00,10454536-1,66.943
2014-06-09 09:52:00,10454536-2,62.344
2014-06-09 09:52:00,10454545-x,54.189
2014-06-09 09:52:00,10454536-x,53.685
2014-06-09 09:53:00,10454545-1,68.913
2014-06-09 09:53:00,10454545-2,59.282
2014-06-09 09:53:00,10454536-1,66.943
2014-06-09 09:53:00,10454536-2,62.344
2014-06-09 09:53:00,10454545-x,54.161
2014-06-09 09:53:00,10454536-x,53.685
2014-06-09 09:54:00,10454545-1,68.956
2014-06-09 09:54:00,10454545-2,59.347
2014-06-09 09:54:00,10454536-1,66.985
2014-06-09 09:54:00,10454536-2,62.257
2014-06-09 09:54:00,10454545-x,54.232
2014-06-09 09:54:00,10454536-x,53.686
2014-06-09 09:55:00,10454545-1,68.956
2014-06-09 09:55:00,10454545-2,59.316
2014-06-09 09:55:00,10454536-1,66.985
2014-06-09 09:55:00,10454536-2,62.227
2014-06-09 09:55:00,10454545-x,54.217
2014-06-09 09:55:00,10454536-x,53.673
2014-06-09 09:56:00,10454545-1,68.956
2014-06-09 09:56:00,10454545-2,59.438
2014-06-09 09:56:00,10454536-1,67.028
2014-06-09 09:56:00,10454536-2,62.141
2014-06-09 09:56:00,10454545-x,54.274
2014-06-09 09:56:00,10454536-x,53.676
2014-06-09 09:57:00,10454545-1,68.956
2014-06-09 09:57:00,10454545-2,59.438
2014-06-09 09:57:00,10454536-1,66.943
2014-06-09 09:57:00,10454536-2,62.283
2014-06-09 09:57:00,10454545-x,54.274
2014-06-09 09:57:00,10454536-x,53.658
2014-06-09 09:58:00,10454545-1,68.956
2014-06-09 09:58:00,10454545-2,59.407
2014-06-09 09:58:00,10454536-1,66.943
2014-06-09 09:58:00,10454536-2,62.344
2014-06-09 09:58:00,10454545-x,54.259
2014-06-09 09:58:00,10454536-x,53.685
2014-06-09 09:59:00,10454545-1,68.999
2014-06-09 09:59:00,10454545-2,59.381
2014-06-09 09:59:00,10454536-1,67.071
2014-06-09 09:59:00,10454536-2,62.446
2014-06-09 09:59:00,10454545-x,54.288
2014-06-09 09:59:00,10454536-x,53.850
2014-06-09 10:00:00,10454545-1,68.999
2014-06-09 10:00:00,10454545-2,59.228
2014-06-09 10:00:00,10454536-1,67.114
2014-06-09 10:00:00,10454536-2,62.149
2014-06-09 10:00:00,10454545-x,54.217
2014-06-09 10:00:00,10454536-x,53.761
2014-06-09 10:01:00,10454545-1,68.999
2014-06-09 10:01:00,10454545-2,59.228
2014-06-09 10:01:00,10454536-1,67.114
2014-06-09 10:01:00,10454536-2,62.209
2014-06-09 10:01:00,10454545-x,54.217
2014-06-09 10:01:00,10454536-x,53.787
2014-06-09 10:02:00,10454545-1,69.042
2014-06-09 10:02:00,10454545-2,59.263
2014-06-09 10:02:00,10454536-1,67.158
2014-06-09 10:02:00,10454536-2,62.002
2014-06-09 10:02:00,10454545-x,54.274
2014-06-09 10:02:00,10454536-x,53.737
2014-06-09 10:03:00,10454545-1,69.042
2014-06-09 10:03:00,10454545-2,59.080
2014-06-09 10:03:00,10454536-1,67.114
2014-06-09 10:03:00,10454536-2,62.269
2014-06-09 10:03:00,10454545-x,54.189
2014-06-09 10:03:00,10454536-x,53.813
2014-06-09 10:04:00,10454545-1,69.042
2014-06-09 10:04:00,10454545-2,59.019
2014-06-09 10:04:00,10454536-1,67.071
2014-06-09 10:04:00,10454536-2,62.415
2014-06-09 10:04:00,10454545-x,54.160
